Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
698,OpenIntToDoubleHashMap,98,81,0.98,0.81
699,OpenIntToFieldHashMap,95,78,0.95,0.78
334,OpenMapRealMatrix,82,77,0.82,0.77
335,OpenMapRealVector,92,79,0.92,0.79
208,OptimumImpl,86,78,0.86,0.78
231,OrderedCrossover,100,71,1,0.71
290,OrderedTuple,0,0,0,0
242,OrientedPoint,60,69,0.6,0.69
251,OutlineExtractor,0,0,0,0
179,OutOfRangeException,100,100,1,1
700,Pair,88,75,0.88,0.75
398,ParameterConfiguration,100,50,1,0.5
400,ParameterizedWrapper,0,0,0,0
399,ParameterJacobianWrapper,92,86,0.92,0.86
152,ParetoDistribution,89,89,0.89,0.89
153,PascalDistribution,89,95,0.89,0.95
612,PearsonsCorrelation,97,94,0.97,0.94
84,PiecewiseBicubicSplineInterpolator,88,80,0.88,0.8
252,Plane,78,84,0.78,0.84
471,PointValuePair,100,86,1,0.86
526,PointValuePair,100,86,1,0.86
472,PointVectorValuePair,100,83,1,0.83
527,PointVectorValuePair,100,83,1,0.83
154,PoissonDistribution,93,74,0.93,0.74
569,PollardRho,0,0,0,0
267,PolygonsSet,87,63,0.87,0.63
253,PolyhedronsSet,91,73,0.91,0.73
195,PolynomialCurveFitter,93,86,0.93,0.86
196,PolynomialFitter,75,50,0.75,0.5
549,PolynomialFitter,44,25,0.44,0.25
92,PolynomialFunction,79,72,0.79,0.72
93,PolynomialFunctionLagrangeForm,83,84,0.83,0.84
94,PolynomialFunctionNewtonForm,86,80,0.86,0.8
95,PolynomialSplineFunction,79,78,0.79,0.78
96,PolynomialsUtils,97,90,0.97,0.9
39,Pow,100,100,1,1
501,PowellOptimizer,97,53,0.97,0.53
544,PowellOptimizer,97,55,0.97,0.55
40,Power,83,67,0.83,0.67
701,Precision,91,73,0.91,0.73
336,PreconditionedIterativeLinearSolver,84,57,0.84,0.57
570,Primes,94,97,0.94,0.97
644,Product,92,84,0.92,0.84
216,ProperBigFractionFormat,87,65,0.87,0.65
217,ProperFractionFormat,86,67,0.86,0.67
300,PropertiesComputer,93,80,0.93,0.8
642,PSquarePercentile,100,88,1,0.88
337,QRDecomposition,100,98,1,0.98
379,QuantizationError,0,0,0,0
375,QuasiSigmoidDecayFunction,100,91,1,0.91
